P-1_temperature_C,P-1_weight_mg,P-1_weight_percent,P-2_temperature_C,P-2_weight_mg,P-2_weight_percent,P-3_temperature_C,P-3_weight_mg,P-3_weight_percent,P-4_temperature_C,P-4_weight_mg,P-4_weight_percent
30.01795,4.00608,99.99988,30.0669,4.37565,100.00005,22.86942,7.9711,99.99414,25.62263,4.16865,100.68718
30.09522,4.00626,100.00442,30.15302,4.3754,99.99429,22.88034,7.97142,99.99799,25.6315,4.16869,100.68818
30.17254,4.00604,99.99905,30.2365,4.3749,99.98286,22.89101,7.97069,99.98904,25.64334,4.16872,100.68876
30.24978,4.00613,100.0012,30.32124,4.37466,99.97747,22.90657,7.96982,99.97832,25.66022,4.16849,100.68345
30.32707,4.0062,100.00305,30.40463,4.37485,99.98163,22.92366,7.96961,99.97571,25.67932,4.16824,100.67773
30.40778,4.00603,99.99873,30.48902,4.37525,99.99095,22.94131,7.97,99.98062,25.70363,4.16819,100.6765
30.48558,4.0057,99.99041,30.57464,4.37537,99.99369,22.95952,7.97027,99.98384,25.72848,4.16812,100.67495
30.56614,4.00571,99.99066,30.65748,4.37512,99.9878,22.9789,7.97004,99.9811,25.75938,4.16792,100.67013
30.64426,4.0062,100.00287,30.74274,4.37483,99.98133,23.00142,7.96959,99.97549,25.78804,4.16771,100.66531
30.72212,4.00664,100.0139,30.82682,4.37493,99.9835,23.02195,7.96921,99.97083,25.8258,4.16786,100.66881
30.8017,4.00677,100.01722,30.91318,4.37514,99.98844,23.04744,7.9694,99.97317,25.86214,4.16768,100.66466
30.882,4.00652,100.01111,30.99775,4.37534,99.99282,23.06707,7.96975,99.97747,25.899,4.16735,100.65692
30.95988,4.00638,100.00739,31.08072,4.37512,99.9878,23.09235,7.96959,99.97554,25.93825,4.16695,100.64783
31.04237,4.0064,100.00799,31.16496,4.37479,99.98035,23.11848,7.96914,99.97002,25.98146,4.16695,100.64765
31.1205,4.00667,100.01473,31.2507,4.3748,99.98057,23.1433,7.96917,99.97036,26.02797,4.16703,100.64959
31.20176,4.00685,100.0193,31.33664,4.37519,99.98949,23.16963,7.9696,99.97561,26.0718,4.16688,100.64612
31.28312,4.00654,100.01141,31.42185,4.37539,99.99415,23.1968,7.97001,99.98063,26.11866,4.16659,100.63944
31.36176,4.00633,100.00612,31.5058,4.3752,99.98981,23.22445,7.96988,99.97911,26.16776,4.16686,100.64565
31.44213,4.00654,100.01148,31.59088,4.37481,99.98069,23.25299,7.96949,99.97433,26.2218,4.1672,100.65353
31.52249,4.00687,100.01965,31.6743,4.37472,99.97865,23.28284,7.96945,99.97372,26.27496,4.16726,100.6549
31.60391,4.00683,100.01862,31.76121,4.37516,99.98871,23.31239,7.96965,99.9763,26.32846,4.16708,100.65066
31.68586,4.00646,100.00949,31.84404,4.37541,99.99452,23.33996,7.96982,99.97839,26.3837,4.16707,100.65045
31.76758,4.00636,100.00699,31.92889,4.37509,99.98725,23.37058,7.9698,99.97813,26.4422,4.16733,100.65655
31.846,4.00706,100.02454,32.01472,4.37458,99.97546,23.4011,7.96974,99.97738,26.5045,4.16726,100.65483
31.92949,4.00764,100.03889,32.09942,4.37431,99.96938,23.43432,7.96987,99.97898,26.56629,4.167,100.64878
32.01031,4.00755,100.03657,32.18169,4.37459,99.97573,23.46765,7.97021,99.98321,26.62756,4.16693,100.64728
32.08931,4.00723,100.02873,32.26787,4.375,99.98519,23.50011,7.97074,99.98968,26.6908,4.16692,100.64714
32.1734,4.00686,100.0195,32.35149,4.37492,99.98323,23.53442,7.97086,99.99114,26.75852,4.16687,100.64579
32.255,4.00678,100.0175,32.43561,4.37453,99.97431,23.56897,7.9704,99.9855,26.82404,4.16683,100.64491
32.33925,4.00719,100.02766,32.51994,4.37431,99.96928,23.60535,7.97008,99.9816,26.8934,4.16704,100.64971
32.42207,4.00734,100.03155,32.60503,4.37444,99.97242,23.64347,7.97036,99.98495,26.96475,4.16733,100.65655
32.50321,4.00664,100.0139,32.68931,4.37481,99.98078,23.68226,7.97062,99.9882,27.03689,4.16751,100.66065
32.58982,4.00622,100.00362,32.77534,4.37496,99.98423,23.7181,7.97073,99.98953,27.11103,4.16752,100.661
32.66802,4.00647,100.00969,32.85976,4.37466,99.97731,23.75528,7.97072,99.98946,27.18818,4.16746,100.65949
32.75023,4.00674,100.0164,32.94365,4.37433,99.96979,23.79268,7.97028,99.98407,27.26424,4.16725,100.65481
32.8326,4.00656,100.01208,33.02988,4.37446,99.97287,23.83133,7.97015,99.98242,27.3436,4.16702,100.64929
32.91548,4.00628,100.00507,33.11196,4.37487,99.98227,23.87085,7.97046,99.98629,27.4251,4.16667,100.6413
32.9981,4.00582,99.99346,33.19838,4.37511,99.98766,23.91258,7.97087,99.99129,27.5058,4.16635,100.63377
33.08102,4.00554,99.98645,33.27942,4.37483,99.98117,23.95242,7.97084,99.99096,27.59068,4.16623,100.63096
33.16346,4.00515,99.97684,33.36526,4.37432,99.96963,23.99248,7.97054,99.98721,27.6732,4.16607,100.62728
33.24513,4.00488,99.97005,33.4512,4.37429,99.96896,24.03712,7.9702,99.98296,27.7589,4.16592,100.62389
33.32788,4.00447,99.95991,33.5358,4.37465,99.97724,24.0803,7.97032,99.9845,27.84729,4.1657,100.6187
33.41147,4.00405,99.94938,33.61722,4.37477,99.9798,24.12527,7.97053,99.98711,27.93672,4.16561,100.61669
33.49456,4.00384,99.94408,33.70244,4.37458,99.97557,24.17045,7.97033,99.9846,28.02728,4.16584,100.62206
33.5784,4.00433,99.95642,33.78628,4.37414,99.96545,24.2166,7.96997,99.98022,28.12156,4.16594,100.62438
33.66045,4.00465,99.9643,33.87228,4.37408,99.96407,24.2596,7.96993,99.97969,28.21458,4.16582,100.62146
33.74232,4.00433,99.95632,33.95686,4.37436,99.97047,24.30658,7.97035,99.98487,28.30955,4.16572,100.61928
33.82886,4.0038,99.94316,34.04,4.37442,99.97184,24.35582,7.97073,99.98958,28.40418,4.16608,100.62762
33.91164,4.00366,99.93964,34.12492,4.37421,99.967,24.40062,7.97088,99.9914,28.50151,4.16659,100.63928
33.99465,4.00414,99.95152,34.20991,4.37378,99.95738,24.44986,7.97075,99.9898,28.6033,4.16658,100.63917
34.07793,4.00414,99.9515,34.29248,4.37358,99.95278,24.49866,7.97071,99.9893,28.7004,4.16641,100.63518
34.16344,4.00363,99.93889,34.37664,4.37384,99.95859,24.54773,7.9709,99.99168,28.80467,4.16665,100.64086
34.24465,4.00327,99.92983,34.46072,4.37417,99.96622,24.59628,7.97118,99.99505,28.9106,4.16688,100.64623
34.32724,4.00356,99.9371,34.54444,4.37421,99.967,24.64728,7.97124,99.99587,29.01239,4.16673,100.64273
34.41303,4.00421,99.95337,34.62768,4.37397,99.96165,24.69901,7.97109,99.99395,29.12014,4.16625,100.63147
34.49702,4.0047,99.96563,34.71247,4.37375,99.95649,24.75114,7.97123,99.99569,29.22797,4.1659,100.62341
34.57996,4.00502,99.97364,34.79626,4.37385,99.95891,24.80411,7.9715,99.99898,29.33412,4.16581,100.62137
34.66272,4.0051,99.97559,34.88028,4.37425,99.96805,24.85608,7.97158,100,29.44498,4.16585,100.62229
34.74552,4.00523,99.97886,34.96267,4.37441,99.97164,24.90696,7.97124,99.99589,29.55489,4.1657,100.61886
34.82955,4.00603,99.99885,35.04942,4.37417,99.96622,24.96222,7.97077,99.99,29.67102,4.16566,100.61784
34.91461,4.00685,100.0191,35.13256,4.37392,99.96051,25.01708,7.97058,99.98772,29.7828,4.16548,100.61358
34.99597,4.00679,100.01767,35.21582,4.3739,99.95991,25.07239,7.97074,99.98965,29.89758,4.16517,100.60647
35.0788,4.00634,100.00639,35.29965,4.37409,99.96444,25.12834,7.97096,99.99239,30.0144,4.16504,100.60343
35.16465,4.0064,100.00789,35.38272,4.37425,99.96796,25.18196,7.97088,99.9914,30.13365,4.16508,100.60445
35.24948,4.0069,100.02039,35.46576,4.37409,99.96433,25.24085,7.97068,99.98893,30.25226,4.16501,100.60269
35.33069,4.00745,100.0342,35.55008,4.37377,99.95713,25.29624,7.9705,99.98671,30.36942,4.1649,100.60028
35.4158,4.00724,100.02886,35.63541,4.37362,99.95372,25.35497,7.97047,99.9864,30.49076,4.16501,100.60273
35.49818,4.00659,100.01273,35.71398,4.37373,99.9561,25.41314,7.97075,99.98976,30.61394,4.16503,100.60327
