experiment_1_time_s,experiment_1_temperature_C,experiment_2_time_s,experiment_2_temperature_C,experiment_3_time_s,experiment_3_temperature_C,experiment_5_time_s,experiment_5_temperature_C,experiment_4_time_s,experiment_4_temperature_C
0.00176,24.01,0.00176,23.18,0.03688,24.98,0.00176,23.93,0.00176,23.62
0.20176,24.01,0.20176,23.13,0.23688,25.11,0.20176,23.31,0.20176,23.62
0.40176,24.01,0.40176,23.44,0.43688,25.2,0.40176,22.83,0.40176,23.57
0.60176,23.93,0.60176,23.44,0.63688,25.11,0.60176,22.7,0.60176,23.57
0.80176,24.01,0.80176,23.44,0.83688,25.02,0.80176,22.7,0.80176,23.57
1.00176,23.88,1.00176,23,1.03688,25.29,1.00176,22.7,1.00176,23.4
1.20176,23.88,1.20176,23.44,1.23688,25.29,1.20176,22.52,1.20176,23.53
1.40176,23.88,1.40176,22.78,1.43688,25.02,1.40176,22.52,1.40176,23.4
1.60176,23.97,1.60176,22.78,1.63688,25.16,1.60176,22.3,1.60176,23.31
1.80176,23.97,1.80176,22.78,1.83688,25.16,1.80176,22.12,1.80176,23.05
2.00176,23.97,2.00176,22.78,2.03688,25.02,2.00176,22.08,2.00176,23.05
2.20176,24.15,2.20176,22.78,2.23688,25.02,2.20176,22.08,2.20176,22.96
2.40176,24.15,2.40176,22.83,2.43688,25.02,2.40176,21.42,2.40176,22.96
2.60176,24.06,2.60176,22.83,2.63688,25.02,2.60176,21.38,2.60176,23.05
2.80176,23.88,2.80176,23.09,2.83688,25.02,2.80176,20.98,2.80176,23.13
3.00176,24.06,3.00176,23.09,3.03688,25.02,3.00176,20.89,3.00176,23.13
3.20176,24.06,3.20176,22.78,3.23688,25.33,3.20176,20.54,3.20176,23.13
3.40176,24.06,3.40176,22.78,3.43688,25.33,3.40176,20.54,3.40176,23.05
3.60176,24.06,3.60176,22.78,3.63688,25.33,3.60176,20.98,3.60176,23.13
3.80176,24.98,3.80176,22.74,3.83688,25.02,3.80176,21.51,3.80176,23
4.00176,24.98,4.00176,22.74,4.03688,25.64,4.00176,21.86,4.00176,23
4.20176,24.06,4.20176,22.78,4.23688,25.02,4.20176,21.86,4.20176,23.05
4.40176,23.97,4.40176,22.78,4.43688,24.85,4.40176,21.86,4.40176,23.22
4.60176,24.06,4.60176,24.06,4.63688,24.85,4.60176,21.86,4.60176,23.27
4.80176,23.97,4.80176,24.19,4.83688,24.85,4.80176,21.73,4.80176,23.27
5.00176,23.97,5.00176,24.19,5.03688,24.85,5.00176,21.68,5.00176,23.27
5.20176,23.88,5.20176,24.19,5.23688,24.76,5.20176,21.73,5.20176,24.32
5.40176,23.88,5.40176,24.19,5.43688,24.76,5.40176,21.64,5.40176,24.28
5.60176,23.62,5.60176,24.19,5.63688,24.72,5.60176,21.64,5.60176,24.28
5.80176,22.87,5.80176,24.45,5.83688,24.76,5.80176,21.33,5.80176,24.28
6.00176,22.74,6.00176,24.45,6.03688,24.63,6.00176,21.42,6.00176,23.09
6.20176,22.74,6.20176,24.01,6.23688,24.72,6.20176,21.42,6.20176,22.92
6.40176,22.74,6.40176,24.01,6.43688,24.63,6.40176,21.25,6.40176,22.92
6.60176,22.74,6.60176,23.93,6.63688,24.72,6.60176,21.25,6.60176,23
6.80176,22.74,6.80176,23.88,6.83688,24.72,6.80176,21.29,6.80176,23.09
7.00176,22.74,7.00176,23.88,7.03688,24.76,7.00176,21.25,7.00176,23.13
7.20176,22.7,7.20176,23.93,7.23688,24.76,7.20176,21.25,7.20176,23.93
7.40176,22.7,7.40176,23.88,7.43688,24.76,7.40176,21.25,7.40176,24.28
