P-1_smoothed_normalized_wavelength_nm,P-1_smoothed_normalized_abs_1_au,P-1_smoothed_normalized_abs_2_au,P-1_smoothed_normalized_abs_3_au,P-1_smoothed_normalized_abs_4_au,P-1_smoothed_normalized_abs_5_au,P-1_smoothed_normalized_abs_6_au,P-1_smoothed_normalized_abs_7_au,P-1_smoothed_normalized_abs_8_au,P-1_smoothed_normalized_abs_9_au,P-2_smoothed_normalized_wavelength_nm,P-2_smoothed_normalized_abs_1_au,P-2_smoothed_normalized_abs_2_au,P-2_smoothed_normalized_abs_3_au,P-2_smoothed_normalized_abs_4_au,P-2_smoothed_normalized_abs_5_au,P-2_smoothed_normalized_abs_6_au,P-2_smoothed_normalized_abs_7_au,P-2_smoothed_normalized_abs_8_au,P-2_smoothed_normalized_abs_9_au,P-3_smoothed_normalized_wavelength_nm,P-3_smoothed_normalized_abs_1_au,P-3_smoothed_normalized_abs_2_au,P-3_smoothed_normalized_abs_3_au,P-3_smoothed_normalized_abs_4_au,P-3_smoothed_normalized_abs_5_au,P-3_smoothed_normalized_abs_6_au,P-3_smoothed_normalized_abs_7_au,P-3_smoothed_normalized_abs_8_au,P-3_smoothed_normalized_abs_9_au,P-4_smoothed_normalized_wavelength_nm,P-4_smoothed_normalized_abs_1_au,P-4_smoothed_normalized_abs_2_au,P-4_smoothed_normalized_abs_3_au,P-4_smoothed_normalized_abs_4_au,P-4_smoothed_normalized_abs_5_au,P-4_smoothed_normalized_abs_6_au,P-4_smoothed_normalized_abs_7_au,P-4_smoothed_normalized_abs_8_au,P-4_smoothed_normalized_abs_9_au,P-1_raw_wavelength_nm,P-1_raw_abs_1_au,P-1_raw_abs_2_au,P-1_raw_abs_3_au,P-1_raw_abs_4_au,P-1_raw_abs_5_au,P-1_raw_abs_6_au,P-1_raw_abs_7_au,P-1_raw_abs_8_au,P-1_raw_abs_9_au,P-2_raw_wavelength_nm,P-2_raw_abs_1_au,P-2_raw_abs_2_au,P-2_raw_abs_3_au,P-2_raw_abs_4_au,P-2_raw_abs_5_au,P-2_raw_abs_6_au,P-2_raw_abs_7_au,P-2_raw_abs_8_au,P-2_raw_abs_9_au,P-3_raw_wavelength_nm,P-3_raw_abs_1_au,P-3_raw_abs_2_au,P-3_raw_abs_3_au,P-3_raw_abs_4_au,P-3_raw_abs_5_au,P-3_raw_abs_6_au,P-3_raw_abs_7_au,P-3_raw_abs_8_au,P-3_raw_abs_9_au,P-4_raw_wavelength_nm,P-4_raw_abs_1_au,P-4_raw_abs_2_au,P-4_raw_abs_3_au,P-4_raw_abs_4_au,P-4_raw_abs_5_au,P-4_raw_abs_6_au,P-4_raw_abs_7_au,P-4_raw_abs_8_au,P-4_raw_abs_9_au
439.99744,0.00331,0.0034,0.00447,0.00331,0.00375,0.00293,0.00305,0.00483,0.00616,800.0155,0.00205,0.00517,0.00356,0.00435,0.00292,0.00227,0.00356,0.00211,0.00364,800.008,0.00171,0.00199,0.00165,0.00141,0.0021,0.00115,0.00198,0.00144,0.00158,800.01343,0.00322,0.00153,0.00781,0.00297,0.00788,5.76E-04,0.0031,0.0051,9.01E-04,439.99744,0.00175,0.0018,0.00237,0.00175,0.00198,0.00155,0.00161,0.00256,0.00326,800.0155,0.00133,0.00334,0.0023,0.00281,0.00188,0.00147,0.0023,0.00136,0.00235,800.008,0.00439,0.00511,0.00424,0.00362,0.00538,0.00295,0.00508,0.0037,0.00405,800.01343,6.91E-04,3.28E-04,0.00168,6.38E-04,0.00169,1.24E-04,6.65E-04,0.0011,1.94E-04
439.49875,0.00665,0.00357,0.00495,0.00359,0.00407,0.00449,0.0038,0.00302,0.00616,799.49554,0.00353,0.00446,0.00424,0.00435,0.00392,0.00341,0.00356,0.00211,0.00364,799.48798,0.00246,0.00199,0.00165,0.00149,0.0021,0.00147,0.00153,0.00145,0.00181,799.4931,0.00322,0.00184,0.00781,0.00463,0.00317,0.0073,0.0031,0.00269,0.00378,439.49875,0.00501,0.00189,0.00262,0.0019,0.00215,0.00308,0.00201,0.00134,0.01119,799.49554,0.00228,0.00288,0.00284,0.00215,0.00281,0.0022,0.00248,0.00267,9.59E-04,799.48798,0.0063,0.00583,0.0048,0.00435,0.00595,0.00448,0.00393,0.00428,0.00463,799.4931,3.96E-04,6.98E-04,0.00103,9.96E-04,5.19E-04,0.00163,6.43E-04,5.77E-04,0.00154
439.00009,0.00331,0.0034,0.00366,0.00331,0.00407,0.00449,0.00288,0.00302,0.00329,799.01007,0.00318,0.00446,0.004,0.00388,0.00311,0.00341,0.0033,0.00211,0.00266,799.00262,0.00149,0.00128,0.00148,0.00133,0.00134,0.0012,9.97E-04,0.00129,0.00158,799.00745,0.00287,0.00184,0.00477,0.00297,-6.54E-04,0.0054,0.00299,0.00186,0.00378,439.00009,0.00352,0.00194,0.00283,0.00344,0.00235,0.00237,0.00584,0.0016,0.00169,799.01007,0.00241,0.00232,0.00274,0.00287,0.00253,0.0025,0.00212,0.00129,0.00363,799.00262,0.01172,0.00329,0.0038,0.00381,0.00377,0.00377,0.00387,0.00371,0.00478,799.00745,0.00232,3.96E-04,0.00222,0.00149,6.82E-04,0.00157,0.00131,9.27E-05,8.12E-04
438.50128,0.00476,0.00328,0.00366,0.00303,0.00444,0.00513,0.00288,0.00302,0.00329,798.48981,0.00318,0.00446,0.00402,0.00333,0.00311,0.00341,0.0033,0.00235,0.00266,798.51715,0.00149,0.00128,0.00148,0.00133,0.00134,0.00134,9.97E-04,0.00129,0.00105,798.48706,0.00184,0.00184,-0.00159,0.00149,-6.54E-04,0.0054,0.00299,5.76E-04,0.00388,438.50128,0.00111,0.00167,0.00191,0.00242,0.00429,0.00416,0.00152,0.00224,0.0023,798.48981,0.00205,0.00388,0.00259,0.00251,0.00354,0.00268,0.00259,0.00236,0.00172,798.51715,0.00383,0.00435,0.00381,0.00317,0.00343,0.00343,0.00256,0.00331,0.00415,798.48706,6.17E-04,0.00154,0.00155,7.30E-04,-5.22E-04,0.00124,8.84E-04,4.01E-04,0.00216
438.0025,0.00417,0.00328,0.00366,0.00303,0.00444,0.00513,0.00288,0.00393,0.00319,798.00415,0.00318,0.00413,0.004,0.00297,0.00309,0.00293,0.00329,0.00235,0.00292,797.99683,0.00149,0.00128,0.00148,0.00133,0.00134,0.00134,9.97E-04,0.00119,0.00105,798.00122,-0.00138,-4.68E-04,-0.00248,0.00108,-6.54E-04,0.002,5.71E-05,4.32E-04,0.00378,438.0025,0.00252,0.00247,0.00194,0.00147,0.00438,0.00271,0.00144,0.00241,0.00174,798.00415,0.00246,0.00338,0.00259,0.00283,0.00201,0.00246,0.00213,0.00208,0.00195,797.99683,0.00252,0.00282,0.00245,0.00341,0.00158,0.00307,0.00246,0.00306,7.16E-04,798.00122,0.00138,0.00121,-9.06E-04,2.32E-04,-1.41E-04,0.00116,1.23E-05,0.00119,8.33E-04
437.50366,0.00417,0.00328,0.00366,0.00303,0.00434,0.00513,0.00288,0.00393,0.00329,797.48376,0.00318,0.00413,0.00339,0.00217,0.00236,0.00293,0.00275,0.00235,0.00266,797.51117,0.00149,0.00127,0.00148,0.00127,0.00134,0.00134,9.97E-04,0.00119,6.15E-04,797.5152,-0.00655,-0.00237,-0.0034,-0.00358,-6.54E-04,-0.00124,-0.00346,-0.00294,-3.71E-04,437.50366,0.00937,0.00173,0.00194,0.0016,0.00376,0.00279,0.00179,0.00208,0.0018,797.48376,0.00188,0.00389,0.00303,0.00192,0.00152,0.00189,0.00296,0.00152,0.00199,797.51117,0.00671,0.00518,0.00445,0.00489,0.00443,0.00485,0.0049,0.00412,0.0027,797.5152,-2.98E-04,-1.00E-04,-3.41E-04,3.20E-04,0.00108,4.29E-04,8.01E-04,1.24E-04,8.35E-04
437.00479,0.00417,0.00363,0.00367,0.00303,0.00434,0.0037,0.00338,0.00393,0.00329,796.99792,0.00291,0.00367,0.00339,0.00204,0.00236,0.00258,0.00259,0.00235,0.00258,796.99066,0.00158,0.00127,0.00148,0.00133,0.00149,0.00141,0.00164,0.00119,6.15E-04,796.99451,-0.00729,-0.005,-0.00422,-0.00384,-6.54E-04,-0.00124,-0.00422,-0.00294,-0.0016,437.00479,0.00221,0.00192,0.00195,0.00372,0.0023,0.00291,0.00226,0.0022,0.00144,796.99792,0.00338,0.00266,0.00219,0.0014,0.00199,0.00166,0.00167,0.00248,0.00188,796.99066,0.00558,0.00396,0.0038,0.00454,0.00383,0.00376,0.00419,0.00185,0.00422,796.99451,-0.00141,-0.0015,-5.33E-04,-8.24E-04,1.10E-04,-2.66E-04,-9.58E-04,-6.32E-04,-3.44E-04
436.50589,0.00293,0.00363,0.00369,0.00365,0.00371,0.00366,0.00345,0.00374,0.00339,796.51196,0.00291,0.00367,0.00334,0.00204,0.00187,0.00258,0.00149,0.00201,0.00114,796.50476,0.00186,0.00154,0.0016,0.00147,0.00154,0.00145,0.00164,0.00119,0.00105,796.50836,-0.00729,-0.005,-0.0034,-0.00384,-0.00278,-0.00165,-0.00422,-0.00294,-0.0016,436.50589,0.00289,0.00363,0.00249,0.00232,0.00196,0.00194,0.0021,0.00183,0.0025,796.51196,0.00234,0.00237,7.42E-04,0.00132,0.00116,0.00191,0.00178,3.73E-04,0.00166,796.50476,0.00404,0.00327,0.00417,0.00326,0.00394,0.00398,0.00431,0.00306,0.00158,796.50836,-0.00157,-5.09E-04,-7.31E-04,-7.70E-04,6.50E-05,-9.99E-04,-7.43E-04,-7.86E-04,-7.97E-05
436.00693,0.00185,0.00455,0.00394,0.004,0.00371,0.00342,0.00367,0.00346,0.00272,795.99127,0.003,0.00367,0.00334,0.00204,0.00187,0.00191,0.00149,0.00201,0.00114,795.98407,0.00158,0.00154,0.00148,0.00127,0.00149,0.00141,0.00119,0.00119,0.00119,795.9873,-0.00729,-0.005,-0.0034,-0.00384,-0.00278,-0.00165,-0.00422,-0.00294,-0.0016,436.00693,0.00155,0.00241,0.00208,0.00212,0.00266,0.00196,0.00183,0.00213,0.00284,795.99127,0.00124,0.00125,0.00242,0.00128,0.00174,4.88E-04,9.37E-05,0.00258,7.25E-04,795.98407,0.00476,0.00492,0.00411,0.00411,0.00508,0.00361,0.00425,0.00435,0.00469,795.9873,-0.00207,-0.00107,-0.00186,-0.00154,-0.00135,-2.40E-04,-9.06E-04,-3.84E-05,-0.00146
435.5079,0.00185,0.00455,0.00394,0.004,0.00371,0.00342,0.00345,0.00346,0.0034,795.50513,0.003,0.00367,0.00183,0.00204,0.00187,0.00191,9.15E-04,0.00201,0.00114,795.49805,0.00158,0.00127,0.00141,9.53E-04,0.00146,0.00127,0.00119,0.00144,9.26E-04,795.50098,-0.00729,-0.00237,-0.0034,-0.00358,-0.00278,-0.00165,-0.00346,-0.00108,-3.71E-04,435.5079,9.77E-04,0.00275,0.00246,0.00193,0.00176,0.00157,0.00194,0.00198,0.002,795.50513,0.00194,0.00267,0.00215,0.00194,0.00121,0.00184,9.63E-04,0.0013,7.39E-04,795.49805,0.01333,0.00444,0.00418,0.00376,0.004,0.00371,0.0026,0.00443,0.00349,795.50098,2.54E-04,6.14E-05,-1.14E-04,8.21E-04,-5.98E-04,-3.55E-04,-1.85E-04,-2.32E-04,0.00147
