P-4_normalized_wavelength_nm,P-4_normalized_abs_au,D-4_normalized_wavelength_nm,D-4_normalized_abs_au,P-4_raw_wavelength_nm,P-4_raw_abs_au,D-4_raw_wavelength_nm,D-4_raw_abs_au
699.98468,4.59E-04,699.98468,3.16E-04,699.98468,4.30E-04,699.98468,2.96E-04
699.01288,3.75E-04,699.01288,8.47E-05,699.01288,3.52E-04,699.01288,7.95E-05
698.00482,2.63E-04,698.00482,-2.23E-04,698.00482,2.47E-04,698.00482,-2.10E-04
696.9964,2.05E-04,696.9964,-2.94E-04,696.9964,1.92E-04,696.9964,-2.76E-04
695.98761,6.29E-04,695.98761,5.12E-04,695.98761,5.90E-04,695.98761,4.80E-04
695.01459,7.88E-04,695.01459,3.64E-04,695.01459,7.39E-04,695.01459,3.41E-04
694.00513,2.90E-04,694.00513,4.53E-04,694.00513,2.72E-04,694.00513,4.25E-04
692.99548,8.16E-04,692.99548,7.48E-05,692.99548,7.65E-04,692.99548,7.02E-05
691.98541,5.79E-04,691.98541,-2.31E-05,691.98541,5.43E-04,691.98541,-2.16E-05
691.01111,0.00143,691.01111,2.08E-04,691.01111,0.00134,691.01111,1.95E-04
690.00037,0.00103,690.00037,6.99E-04,690.00037,9.64E-04,690.00037,6.55E-04
688.98938,0.00105,688.98938,4.12E-04,688.98938,9.80E-04,688.98938,3.87E-04
688.01416,0.0011,688.01416,6.22E-04,688.01416,0.00103,688.01416,5.83E-04
687.00244,0.00145,687.00244,6.28E-04,687.00244,0.00136,687.00244,5.89E-04
685.99048,5.46E-04,685.99048,1.44E-05,685.99048,5.12E-04,685.99048,1.35E-05
685.01434,0.00125,685.01434,-7.87E-05,685.01434,0.00118,685.01434,-7.38E-05
684.00165,9.40E-04,684.00165,-1.79E-04,684.00165,8.82E-04,684.00165,-1.68E-04
682.98877,0.00117,682.98877,4.60E-04,682.98877,0.0011,682.98877,4.31E-04
682.01172,7.49E-04,682.01172,5.63E-06,682.01172,7.02E-04,682.01172,5.28E-06
680.99811,0.00113,680.99811,-3.29E-04,680.99811,0.00106,680.99811,-3.09E-04
679.98425,9.94E-04,679.98425,-1.27E-04,679.98425,9.32E-04,679.98425,-1.19E-04
679.00623,2.64E-04,679.00623,-6.20E-04,679.00623,2.48E-04,679.00623,-5.82E-04
677.9917,0.00107,677.9917,-2.71E-04,677.9917,0.00101,677.9917,-2.54E-04
677.01306,9.20E-04,677.01306,-5.36E-04,677.01306,8.63E-04,677.01306,-5.03E-04
675.99792,0.00116,675.99792,-4.96E-05,675.99792,0.00109,675.99792,-4.65E-05
674.98242,5.18E-04,674.98242,2.65E-04,674.98242,4.86E-04,674.98242,2.49E-04
674.00293,0.00101,674.00293,-3.48E-06,674.00293,9.43E-04,674.00293,-3.26E-06
672.98682,0.00122,672.98682,1.24E-04,672.98682,0.00114,672.98682,1.16E-04
672.00665,0.00102,672.00665,3.01E-04,672.00665,9.54E-04,672.00665,2.82E-04
670.98999,0.0014,670.98999,9.09E-04,670.98999,0.00131,670.98999,8.52E-04
670.00922,0.00129,670.00922,3.51E-04,670.00922,0.00121,670.00922,3.29E-04
668.99188,0.00131,668.99188,3.84E-04,668.99188,0.00123,668.99188,3.60E-04
668.01056,0.00166,668.01056,0.00108,668.01056,0.00155,668.01056,0.00102
666.99268,9.83E-04,666.99268,0.00132,666.99268,9.22E-04,666.99268,0.00124
666.01074,0.00187,666.01074,0.00149,666.01074,0.00175,666.01074,0.0014
664.99213,0.0014,664.99213,0.0015,664.99213,0.00132,664.99213,0.0014
664.00964,0.00146,664.00964,0.00102,664.00964,0.00137,664.00964,9.55E-04
662.99042,0.00123,662.99042,0.00156,662.99042,0.00115,662.99042,0.00147
662.00726,7.96E-04,662.00726,0.00113,662.00726,7.47E-04,662.00726,0.00106
660.98749,0.00145,660.98749,0.00164,660.98749,0.00136,660.98749,0.00154
660.00378,7.56E-04,660.00378,0.00151,660.00378,7.09E-04,660.00378,0.00142
658.9834,0.00159,658.9834,0.00154,658.9834,0.00149,658.9834,0.00144
657.99902,6.95E-04,657.99902,0.00161,657.99902,6.52E-04,657.99902,0.00151
657.01453,0.00127,657.01453,0.00204,657.01453,0.00119,657.01453,0.00191
655.99316,0.00142,655.99316,0.00197,655.99316,0.00133,655.99316,0.00185
655.008,0.00136,655.008,0.00226,655.008,0.00127,655.008,0.00212
653.98608,0.00145,653.98608,0.00236,653.98608,0.00136,653.98608,0.00221
653.00024,0.00148,653.00024,0.0024,653.00024,0.00139,653.00024,0.00225
652.01428,0.00141,652.01428,0.00213,652.01428,0.00132,652.01428,0.002
650.99146,0.00189,650.99146,0.00302,650.99146,0.00177,650.99146,0.00283
650.00482,0.00215,650.00482,0.00344,650.00482,0.00202,650.00482,0.00323
649.01794,0.00175,649.01794,0.00255,649.01794,0.00164,649.01794,0.00239
647.99414,0.00127,647.99414,0.00252,647.99414,0.00119,647.99414,0.00236
647.00665,0.00167,647.00665,0.00277,647.00665,0.00157,647.00665,0.0026
645.98236,9.99E-04,645.98236,0.00238,645.98236,9.37E-04,645.98236,0.00223
644.99426,0.0018,644.99426,0.00333,644.99426,0.00169,644.99426,0.00312
644.00592,0.00167,644.00592,0.00333,644.00592,0.00157,644.00592,0.00312
643.01733,0.001,643.01733,0.0029,643.01733,9.40E-04,643.01733,0.00272
641.99176,7.13E-04,641.99176,0.00311,641.99176,6.68E-04,641.99176,0.00291
641.00256,5.38E-04,641.00256,0.00281,641.00256,5.05E-04,641.00256,0.00263
640.01312,1.98E-04,640.01312,0.00261,640.01312,1.86E-04,640.01312,0.00244
638.98669,0.00101,638.98669,0.00307,638.98669,9.51E-04,638.98669,0.00288
637.99658,4.47E-04,637.99658,0.0027,637.99658,4.19E-04,637.99658,0.00253
637.00635,7.61E-05,637.00635,0.00273,637.00635,7.13E-05,637.00635,0.00256
636.01569,4.17E-04,636.01569,0.00255,636.01569,3.91E-04,636.01569,0.00239
634.98804,5.12E-04,634.98804,0.00275,634.98804,4.80E-04,634.98804,0.00258
633.99689,4.57E-04,633.99689,0.00298,633.99689,4.28E-04,633.99689,0.0028
633.00543,7.10E-04,633.00543,0.00305,633.00543,6.66E-04,633.00543,0.00286
632.01373,9.47E-04,632.01373,0.00329,632.01373,8.88E-04,632.01373,0.00309
630.98492,0.00104,630.98492,0.00309,630.98492,9.72E-04,630.98492,0.0029
629.99268,0.00107,629.99268,0.00318,629.99268,1.00E-03,629.99268,0.00298
629.00012,0.00119,629.00012,0.00312,629.00012,0.00111,629.00012,0.00293
628.00714,0.0012,628.00714,0.00322,628.00714,0.00113,628.00714,0.00302
627.0141,0.00158,627.0141,0.00366,627.0141,0.00149,627.0141,0.00343
625.98395,0.00127,625.98395,0.00303,625.98395,0.00119,625.98395,0.00284
624.99017,0.00122,624.99017,0.00276,624.99017,0.00114,624.99017,0.00259
623.99628,9.73E-04,623.99628,0.00213,623.99628,9.12E-04,623.99628,0.002
623.00201,2.50E-04,623.00201,0.00137,623.00201,2.34E-04,623.00201,0.00129
622.00751,2.89E-04,622.00751,0.0012,622.00751,2.71E-04,622.00751,0.00112
621.01263,-3.44E-05,621.01263,0.00123,621.01263,-3.23E-05,621.01263,0.00116
620.01758,-4.33E-04,620.01758,8.48E-04,620.01758,-4.06E-04,620.01758,7.95E-04
618.98547,-7.67E-05,618.98547,3.50E-04,618.98547,-7.19E-05,618.98547,3.28E-04
617.98981,-3.05E-04,617.98981,6.13E-04,617.98981,-2.86E-04,617.98981,5.75E-04
616.9939,-5.39E-04,616.9939,6.79E-04,616.9939,-5.06E-04,616.9939,6.37E-04
615.9978,3.17E-06,615.9978,5.75E-04,615.9978,2.98E-06,615.9978,5.39E-04
615.00134,3.68E-04,615.00134,0.00117,615.00134,3.45E-04,615.00134,0.0011
614.0047,2.53E-04,614.0047,0.00112,614.0047,2.38E-04,614.0047,0.00105
613.00769,9.88E-04,613.00769,0.00193,613.00769,9.27E-04,613.00769,0.00181
612.0105,0.00145,612.0105,0.00211,612.0105,0.00136,612.0105,0.00198
611.013,0.0013,611.013,0.00204,611.013,0.00122,611.013,0.00191
610.01526,0.00173,610.01526,0.00201,610.01526,0.00162,610.01526,0.00189
609.01715,0.00174,609.01715,0.00223,609.01715,0.00163,609.01715,0.0021
607.98187,0.0021,607.98187,0.00221,607.98187,0.00197,607.98187,0.00207
606.98334,0.00245,606.98334,0.00268,606.98334,0.0023,606.98334,0.00251
605.9845,0.00232,605.9845,0.00233,605.9845,0.00218,605.9845,0.00218
604.98529,0.00203,604.98529,0.00162,604.98529,0.0019,604.98529,0.00152
603.98596,0.00223,603.98596,0.00185,603.98596,0.0021,603.98596,0.00174
602.98633,0.00163,602.98633,0.00128,602.98633,0.00153,602.98633,0.0012
601.98639,0.00201,601.98639,8.43E-04,601.98639,0.00188,601.98639,7.90E-04
600.98621,0.00196,600.98621,6.91E-04,600.98621,0.00184,600.98621,6.48E-04
599.98584,0.00156,599.98584,-6.36E-05,599.98584,0.00147,599.98584,-5.97E-05
598.98511,0.00205,598.98511,3.77E-04,598.98511,0.00193,598.98511,3.53E-04
597.98413,0.00241,597.98413,7.26E-04,597.98413,0.00226,597.98413,6.81E-04
596.98291,0.00268,596.98291,5.55E-04,596.98291,0.00251,596.98291,5.20E-04
596.01855,0.00325,596.01855,0.00105,596.01855,0.00305,596.01855,9.81E-04
595.01678,0.00391,595.01678,9.25E-04,595.01678,0.00367,595.01678,8.68E-04
594.01477,0.00471,594.01477,0.00161,594.01477,0.00442,594.01477,0.00151
593.01245,0.00538,593.01245,0.00176,593.01245,0.00504,593.01245,0.00165
592.01001,0.00662,592.01001,0.00224,592.01001,0.00621,592.01001,0.0021
591.0072,0.00714,591.0072,0.00281,591.0072,0.00669,591.0072,0.00263
590.00415,0.00839,590.00415,0.00335,590.00415,0.00787,590.00415,0.00315
589.00085,0.00882,589.00085,0.00316,589.00085,0.00827,589.00085,0.00297
587.99731,0.00969,587.99731,0.00317,587.99731,0.00909,587.99731,0.00297
