D-2_smoothed_normalized_wavelength_nm,D-2_smoothed_normalized_abs_au,P-2_smoothed_normalized_wavelength_nm,P-2_smoothed_normalized_abs_au,D-3_smoothed_normalized_wavelength_nm,D-3_smoothed_normalized_abs_au,P-3_smoothed_normalized_wavelength_nm,P-3_smoothed_normalized_abs_au,D-4_smoothed_normalized_wavelength_nm,D-4_smoothed_normalized_abs_au,P-4_smoothed_normalized_wavelength_nm,P-4_smoothed_normalized_abs_au,D-2_raw_wavelength_nm,D-2_raw_abs_au,P-2_raw_wavelength_nm,P-2_raw_abs_au,D-3_raw_wavelength_nm,D-3_raw_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-4_raw_wavelength_nm,D-4_raw_abs_au,P-4_raw_wavelength_nm,P-4_raw_abs_au
799.99255,7.99E-04,799.99255,-0.00152,799.99213,-0.00107,799.99213,-0.00259,800.00488,0.0097,800.00488,0.00698,799.99255,3.89E-04,799.99255,-7.38E-04,799.99213,-0.00105,799.99213,-0.00255,800.00488,0.00864,800.00488,0.00622
799.50708,7.99E-04,799.50708,-0.00152,799.50641,-0.00107,799.50641,-0.00186,799.48492,0.00995,799.48492,0.00788,799.50708,-0.00118,799.50708,-0.00258,799.50641,-0.0011,799.50641,-0.00184,799.48492,0.00887,799.48492,0.00702
798.98676,3.76E-04,798.98676,-0.00152,798.9859,-0.00107,798.9859,-0.00186,798.99945,0.0097,798.99945,0.00788,798.98676,8.59E-04,798.98676,3.50E-04,798.9859,-5.66E-04,798.9859,-0.00108,798.99945,0.00982,798.99945,0.00932
798.50104,3.76E-04,798.50104,-5.85E-04,798.50006,-0.00111,798.50006,-0.00141,798.51386,0.00975,798.51386,0.01039,798.50104,1.83E-04,798.50104,-2.61E-04,798.50006,-3.31E-04,798.50006,-0.00139,798.51386,0.00861,798.51386,0.00926
798.0152,0.00177,798.0152,-5.85E-04,798.01416,-0.00152,798.01416,-0.00141,797.99353,0.00975,797.99353,0.01039,798.0152,9.41E-04,798.0152,-2.84E-04,798.01416,-6.56E-04,798.01416,-0.00111,797.99353,0.01001,797.99353,0.00946
797.49457,3.76E-04,797.49457,-0.00158,797.49335,-0.00152,797.49335,-0.00169,797.50787,0.00975,797.50787,0.00891,797.49457,0.00204,797.49457,9.47E-04,797.49335,-0.00149,797.49335,-0.00125,797.50787,0.00869,797.50787,0.01
797.00854,9.73E-04,797.00854,-0.00158,797.00714,-0.00152,797.00714,-0.00169,796.9873,0.01014,796.9873,0.00891,797.00854,0.00121,797.00854,-7.68E-04,797.00714,-0.00162,797.00714,-0.00284,796.9873,0.00904,796.9873,0.00794
796.48779,9.73E-04,796.48779,-0.00158,796.48614,-0.00152,796.48614,-0.00176,796.50134,0.01014,796.50134,0.00891,796.48779,1.41E-04,796.48779,-0.00178,796.48614,-5.45E-04,796.48614,-0.00167,796.50134,0.0092,796.50134,0.00794
796.00159,9.42E-04,796.00159,-0.00158,795.99988,-6.01E-04,795.99988,-0.00229,796.01532,0.01032,796.01532,0.00891,796.00159,4.73E-04,796.00159,-6.56E-04,795.99988,-4.07E-04,795.99988,-0.00112,796.01532,0.00953,796.01532,0.00835
795.51526,7.91E-04,795.51526,-0.00135,795.51343,-5.53E-04,795.51343,-0.00176,795.49451,0.01032,795.49451,0.0093,795.51526,0.00133,795.51526,9.72E-04,795.51343,-4.71E-04,795.51343,-0.00173,795.49451,0.00966,795.49451,0.00996
