P-3_normalized_wavelength_nm,P-3_normalized_abs_au,D-3_310nm_normalized_wavelength_nm,D-3_310nm_normalized_abs_au,P-3_plus_2M_HCl_normalized_wavelength_nm,P-3_plus_2M_HCl_normalized_abs_au,P-3_sat_NaHCO3_normalized_wavelength_nm,P-3_sat_NaHCO3_normalized_abs_au,D-3_310nm_repeat_normalized_wavelength_nm,D-3_310nm_repeat_normalized_abs_au,P-3_plus_2M_HCl_repeat_normalized_wavelength_nm,P-3_plus_2M_HCl_repeat_normalized_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-3_310nm_raw_wavelength_nm,D-3_310nm_raw_abs_au,P-3_plus_2M_HCl_raw_wavelength_nm,P-3_plus_2M_HCl_raw_abs_au,P-3_sat_NaHCO3_raw_wavelength_nm,P-3_sat_NaHCO3_raw_abs_au,D-3_310nm_repeat_raw_wavelength_nm,D-3_310nm_repeat_raw_abs_au,P-3_plus_2M_HCl_repeat_raw_wavelength_nm,P-3_plus_2M_HCl_repeat_raw_abs_au
799.99896,0.00619,799.99896,-5.31E-04,799.99896,0.00834,799.99896,0.00806,799.99896,0.00742,799.99896,0.00439,799.99896,0.00104,799.99896,-8.95E-05,799.99896,0.0014,799.99896,0.00136,799.99896,0.00125,799.99896,7.40E-04
799.513,-0.00693,799.513,-0.00286,799.513,0.00258,799.513,6.24E-04,799.513,0.00355,799.513,-0.00573,799.513,-0.00117,799.513,-4.83E-04,799.513,4.34E-04,799.513,1.05E-04,799.513,5.97E-04,799.513,-9.65E-04
798.99219,-0.00358,798.99219,-0.00828,798.99219,-0.00469,798.99219,-0.0116,798.99219,-0.00597,798.99219,-0.00742,798.99219,-6.03E-04,798.99219,-0.0014,798.99219,-7.89E-04,798.99219,-0.00195,798.99219,-0.00101,798.99219,-0.00125
798.5061,0.00783,798.5061,0.00481,798.5061,0.00372,798.5061,-0.00205,798.5061,0.01215,798.5061,-0.00679,798.5061,0.00132,798.5061,8.10E-04,798.5061,6.26E-04,798.5061,-3.45E-04,798.5061,0.00205,798.5061,-0.00114
797.98511,0.00134,797.98511,0.00714,797.98511,0.0092,797.98511,0.01101,797.98511,0.01766,797.98511,0.00527,797.98511,2.25E-04,797.98511,0.0012,797.98511,0.00155,797.98511,0.00185,797.98511,0.00297,797.98511,8.87E-04
797.49872,0.00713,797.49872,0.00283,797.49872,9.17E-04,797.49872,0.01265,797.49872,0.00554,797.49872,0.0074,797.49872,0.0012,797.49872,4.77E-04,797.49872,1.55E-04,797.49872,0.00213,797.49872,9.32E-04,797.49872,0.00125
797.01227,0.00176,797.01227,-0.00128,797.01227,0.00176,797.01227,0.00797,797.01227,0.01895,797.01227,0.01311,797.01227,2.97E-04,797.01227,-2.15E-04,797.01227,2.96E-04,797.01227,0.00134,797.01227,0.00319,797.01227,0.00221
796.49103,5.64E-04,796.49103,0.01415,796.49103,0.01245,796.49103,0.01727,796.49103,0.0174,796.49103,0.00476,796.49103,9.50E-05,796.49103,0.00238,796.49103,0.0021,796.49103,0.00291,796.49103,0.00293,796.49103,8.02E-04
796.00439,-0.00768,796.00439,-0.00654,796.00439,-0.01255,796.00439,0.00227,796.00439,-0.00888,796.00439,-0.00379,796.00439,-0.00129,796.00439,-0.0011,796.00439,-0.00211,796.00439,3.82E-04,796.00439,-0.0015,796.00439,-6.38E-04
795.48285,0.0014,795.48285,-9.81E-04,795.48285,0.00124,795.48285,-0.00276,795.48285,0.00921,795.48285,0.00293,795.48285,2.36E-04,795.48285,-1.65E-04,795.48285,2.09E-04,795.48285,-4.65E-04,795.48285,0.00155,795.48285,4.93E-04
794.99603,0.01218,794.99603,0.00565,794.99603,0.00258,794.99603,-0.0031,794.99603,7.16E-04,794.99603,-0.0022,794.99603,0.00205,794.99603,9.52E-04,794.99603,4.34E-04,794.99603,-5.22E-04,794.99603,1.21E-04,794.99603,-3.71E-04
