cycle,abs_au,normalized_abs_au
0,0.31827,1
0.5,0.06711,0.21086
1,0.19971,0.62749
1.5,0.0681,0.21397
2,0.19819,0.62271
2.5,0.06534,0.2053
3,0.19694,0.61878
3.5,0.06682,0.20995
4,0.19596,0.6157
4.5,0.06481,0.20363
5,0.19682,0.61841
5.5,0.06602,0.20743
6,0.1978,0.62148
6.5,0.06688,0.21014
7,0.19738,0.62017
7.5,0.06637,0.20853
8,0.19772,0.62123
8.5,0.06454,0.20278
9,0.19874,0.62444
9.5,0.0657,0.20643
10,0.19801,0.62214
10.5,0.06383,0.20055
11,0.19913,0.62566
11.5,0.0664,0.20863
12,0.19764,0.62098
12.5,0.06972,0.21906
13,0.19713,0.61938
13.5,0.06659,0.20922
14,0.19867,0.62422
14.5,0.0665,0.20894
15,0.19888,0.62488
15.5,0.06697,0.21042
16,0.19899,0.62522
16.5,0.06593,0.20716
17,0.19938,0.62644
17.5,0.06798,0.21358
18,0.20111,0.63189
18.5,0.06498,0.20417
19,0.20007,0.62861
19.5,0.06781,0.21305
20,0.19882,0.62469
20.5,0.06932,0.2178
21,0.19954,0.62696
21.5,0.06833,0.21469
22,0.19781,0.62152
