P-1_time_s,P-1_abs_sample_1_au,P-1_abs_sample_2_au,P-1_abs_sample_3_au,P-2_time_s,P-2_abs_sample_1_au,P-2_abs_sample_2_au,P-2_abs_sample_3_au,P-3_time_s,P-3_abs_sample_1_au,P-3_abs_sample_2_au,P-3_abs_sample_3_au,P-4_time_s,P-4_abs_sample_1_au,P-4_abs_sample_2_au,P-4_abs_sample_3_au
0,0.24999,0.24859,0.24212,0,0.32753,0.33494,0.34528,0,0.19184,0.18766,0.18397,0,0.15842,0.15643,0.15845
30,0.24809,0.24725,0.23984,60,0.31359,0.33007,0.33616,30,0.1834,0.18229,0.17613,60,0.14354,0.14197,0.13564
60,0.2452,0.24169,0.23713,120,0.29854,0.31524,0.32441,60,0.17309,0.17544,0.166,120,0.12748,0.12665,0.11457
90,0.2411,0.24025,0.23363,180,0.28533,0.3012,0.31341,90,0.16307,0.16867,0.15687,180,0.11342,0.11301,0.0962
120,0.23437,0.2356,0.23158,240,0.27255,0.2888,0.30315,120,0.15406,0.16281,0.14868,240,0.10051,0.10077,0.0841
150,0.23208,0.23235,0.22847,300,0.26065,0.27594,0.29354,150,0.14572,0.15685,0.14038,300,0.08949,0.08985,0.07495
180,0.22754,0.22962,0.22599,360,0.24912,0.26423,0.28429,180,0.13777,0.15013,0.13285,360,0.07963,0.08009,0.06682
210,0.2246,0.22658,0.22352,420,0.2382,0.25315,0.27497,210,0.13035,0.14444,0.12547,420,0.07337,0.07147,0.05893
240,0.22037,0.22375,0.22101,480,0.228,0.2427,0.26541,240,0.12342,0.13915,0.11888,480,0.06346,0.06383,0.05179
270,0.21687,0.22095,0.2178,540,0.21781,0.23272,0.25683,270,0.11708,0.13369,0.11221,540,0.05657,0.0578,0.04534
300,0.21934,0.21953,0.21558,600,0.20825,0.22339,0.24848,300,0.11106,0.12901,0.10617,600,0.0509,0.05099,0.03995
330,0.2108,0.21546,0.21277,660,0.19928,0.21369,0.24116,330,0.10525,0.1238,0.10082,660,0.04566,0.04567,0.03541
360,0.20844,0.21273,0.21177,720,0.1906,0.20489,0.23267,360,0.09989,0.1194,0.09552,720,0.04099,0.041,0.03142
390,0.20425,0.21403,0.20767,780,0.18233,0.19653,0.22526,390,0.09504,0.11476,0.08976,780,0.03694,0.03674,0.02812
420,0.20163,0.20741,0.20583,840,0.17429,0.18871,0.21784,420,0.09044,0.11021,0.08774,840,0.03338,0.03324,0.02524
450,0.19895,0.20513,0.20296,900,0.1668,0.18101,0.21126,450,0.08601,0.10607,0.08108,900,0.03015,0.02979,0.02288
480,0.19684,0.20679,0.2009,960,0.15995,0.1748,0.20344,480,0.08205,0.10228,0.07655,960,0.02755,0.02703,0.02065
