D-2_time_s,D-2_abs_315nm_85C_au,D-2_abs_315nm_90C_au,D-2_abs_315nm_95C_au,D-2_1_over_T_1_per_K,D-2_R0_k,D-2_ln_k_over_T,D-2_ln_k,D-3_time_s,D-3_abs_310nm_85C_au,D-3_abs_310nm_90C_au,D-3_abs_310nm_95C_au,D-3_1_over_T_1_per_K,D-3_R0_k,D-3_ln_k_over_T,D-3_ln_k,D-4_time_s,D-4_abs_310nm_85C_au,D-4_abs_310nm_90C_au,D-4_abs_310nm_95C_au,D-4_1_over_T_1_per_K,D-4_R0_k,D-4_ln_k_over_T,D-4_ln_k
0,0.06449,0.07346,0.05589,0.00279,1.03E-04,-15.06413,-9.18359,0,0.02331,0.07903,0.03067,0.00279,4.13E-05,-15.97516,-10.09462,0,0.04272,0.03348,0.03822,0.00279,1.89E-05,-16.75938,-10.87884
600,0.09664,0.12158,0.12761,0.00275,1.61E-04,-14.62585,-8.73145,300,0.03516,0.10089,0.06921,0.00275,6.94E-05,-15.47021,-9.5758,600,0.06052,0.05597,0.07213,0.00275,3.29E-05,-16.21708,-10.32268
1200,0.1229,0.1612,0.18462,0.00272,2.63E-04,-14.15136,-8.24327,600,0.05013,0.12519,0.10762,0.00272,1.19E-04,-14.94257,-9.03449,1200,0.07369,0.0751,0.10176,0.00272,5.57E-05,-15.7041,-9.79601
1800,0.14676,0.19499,0.23109,,,,,900,0.06424,0.14781,0.14484,,,,,1800,0.08518,0.0932,0.12926,,,,
2400,0.16838,0.22736,0.26965,,,,,1200,0.07775,0.16965,0.1777,,,,,2400,0.09531,0.11047,0.15559,,,,
3000,0.18877,0.25286,0.3014,,,,,1500,0.09127,0.19086,0.21048,,,,,3000,0.10511,0.12676,0.18069,,,,
3600,0.20799,0.27738,0.32793,,,,,1800,0.10479,0.21124,0.24193,,,,,3600,0.1145,0.14244,0.20446,,,,
4200,0.22569,0.29897,0.34997,,,,,2100,0.11799,0.23119,0.27201,,,,,4200,0.1238,0.15775,0.22752,,,,
4800,0.24238,0.31805,0.36884,,,,,2400,0.13188,0.25045,0.30048,,,,,4800,0.13297,0.17357,0.24942,,,,
5400,0.25816,0.33586,0.38373,,,,,2700,0.14393,0.26888,0.32881,,,,,5400,0.14192,0.18694,0.27091,,,,
