P-3_conc_1_wavelength_nm,P-3_conc_1_abs_au,P-3_conc_2_wavelength_nm,P-3_conc_2_abs_au,P-3_conc_3_wavelength_nm,P-3_conc_3_abs_au,P-3_conc_4_wavelength_nm,P-3_conc_4_abs_au,P-3_conc_5_wavelength_nm,P-3_conc_5_abs_au,P-3_conc_1_em_wavelength_nm,P-3_conc_1_em_intensity,P-3_conc_2_em_wavelength_nm,P-3_conc_2_em_intensity,P-3_conc_3_em_wavelength_nm,P-3_conc_3_em_intensity,P-3_conc_4_em_wavelength_nm,P-3_conc_4_em_intensity,P-3_conc_5_em_wavelength_nm,P-3_conc_5_em_intensity,2-AP_conc_1_wavelength_nm,2-AP_conc_1_abs_au,2-AP_conc_2_wavelength_nm,2-AP_conc_2_abs_au,2-AP_conc_3_wavelength_nm,2-AP_conc_3_abs_au,2-AP_conc_4_wavelength_nm,2-AP_conc_4_abs_au,2-AP_conc_5_wavelength_nm,2-AP_conc_5_abs_au,2-AP_conc_1_em_wavelength_nm,2-AP_conc_1_em_intensity,2-AP_conc_2_em_wavelength_nm,2-AP_conc_2_em_intensity,2-AP_conc_3_em_wavelength_nm,2-AP_conc_3_em_intensity,2-AP_conc_4_em_wavelength_nm,2-AP_conc_4_em_intensity,2-AP_conc_5_em_wavelength_nm,2-AP_conc_5_em_intensity,ACN_em_background_wavelength_nm,ACN_em_background_intensity
800.0170898,-0.000808339,800.0170898,-0.002084505,800.0170898,0.000136855,800.0170898,-0.000676701,800.0170898,0.002777444,310,2.30E+03,310,2.10E+03,310,2.31E+03,310,2.62E+03,310,3.62E+03,599.9896851,-8.36E-05,599.9896851,0.000478792,599.9896851,-0.000954505,599.9896851,-0.000887706,599.9896851,-0.000252936,310,2.81E+04,310,2.66E+04,310,2.24E+04,310,1.66E+04,310,1.07E+04,310,2.68E+03
799.496521,-0.000175885,799.496521,-0.001509012,799.496521,0.00166764,799.496521,-0.000773715,799.496521,0.002546476,310.5,1.62E+03,310.5,1.60E+03,310.5,1.77E+03,310.5,2.07E+03,310.5,2.76E+03,599.5075073,-0.00017278,599.5075073,0.000105731,599.5075073,-0.001165736,599.5075073,-0.001092101,599.5075073,-0.000248279,310.5,3.29E+04,310.5,3.07E+04,310.5,2.58E+04,310.5,1.90E+04,310.5,1.21E+04,310.5,2.14E+03
799.0106812,0.001064129,799.0106812,-0.001440286,799.0106812,0.001925389,799.0106812,-0.000303019,799.0106812,0.003890719,311,1.40E+03,311,1.33E+03,311,1.50E+03,311,1.85E+03,311,2.26E+03,598.9881592,-0.00011554,598.9881592,0.000161325,598.9881592,-0.000862647,598.9881592,-0.000977492,598.9881592,-0.000192756,311,3.85E+04,311,3.55E+04,311,2.87E+04,311,2.18E+04,311,1.30E+04,311,1.83E+03
798.4899902,-0.001775405,798.4899902,-0.001665619,798.4899902,0.001033198,798.4899902,-0.001314311,798.4899902,0.002161386,311.5,1.28E+03,311.5,1.22E+03,311.5,1.43E+03,311.5,1.78E+03,311.5,2.07E+03,598.5058594,-0.000339284,598.5058594,0.000277405,598.5058594,-0.00120544,598.5058594,-0.000929657,598.5058594,-0.000411754,311.5,4.37E+04,311.5,4.16E+04,311.5,3.35E+04,311.5,2.58E+04,311.5,1.55E+04,311.5,1.61E+03
798.0039063,-0.00134466,798.0039063,-0.002523114,798.0039063,0.001037038,798.0039063,-0.000999445,798.0039063,0.002441945,312,1.25E+03,312,1.22E+03,312,1.27E+03,312,1.65E+03,312,1.95E+03,597.9863892,-0.000221838,597.9863892,0.000267433,597.9863892,-0.000908888,597.9863892,-0.000942727,597.9863892,-0.000183545,312,4.94E+04,312,4.67E+04,312,3.79E+04,312,2.82E+04,312,1.77E+04,312,1.63E+03
797.4830322,-0.000660366,797.4830322,-0.001886968,797.4830322,0.000452075,797.4830322,-0.00011673,797.4830322,0.001403655,312.5,1.32E+03,312.5,1.16E+03,312.5,1.32E+03,312.5,1.69E+03,312.5,1.94E+03,597.5039673,-0.000275339,597.5039673,0.000198228,597.5039673,-0.000969072,597.5039673,-0.001299703,597.5039673,-0.000286411,312.5,5.85E+04,312.5,5.53E+04,312.5,4.33E+04,312.5,3.31E+04,312.5,2.01E+04,312.5,1.45E+03
796.9967041,0.000258471,796.9967041,-0.001334698,796.9967041,0.0006229,796.9967041,-0.000782811,796.9967041,0.002383976,313,1.23E+03,313,1.29E+03,313,1.35E+03,313,1.68E+03,313,1.86E+03,596.984314,-6.83E-05,596.984314,0.000571602,596.984314,-0.001054504,596.984314,-0.000933221,596.984314,-0.000649304,313,6.59E+04,313,6.14E+04,313,4.90E+04,313,3.69E+04,313,2.19E+04,313,1.46E+03
796.5103149,-0.000419926,796.5103149,-0.002440802,796.5103149,0.000446711,796.5103149,-0.001058945,796.5103149,0.000802196,313.5,1.25E+03,313.5,1.16E+03,313.5,1.36E+03,313.5,1.74E+03,313.5,1.88E+03,596.5018311,-0.000112072,596.5018311,0.00077673,596.5018311,-0.001029919,596.5018311,-0.001076918,596.5018311,-3.73E-05,313.5,7.60E+04,313.5,7.12E+04,313.5,5.75E+04,313.5,4.28E+04,313.5,2.57E+04,313.5,1.48E+03
795.9890747,0.000554158,795.9890747,-0.001491522,795.9890747,0.001300852,795.9890747,-0.000604224,795.9890747,0.001741757,314,1.27E+03,314,1.15E+03,314,1.55E+03,314,1.77E+03,314,1.96E+03,595.9820557,-0.000609963,595.9820557,0.000587102,595.9820557,-0.001233783,595.9820557,-0.001398745,595.9820557,-0.000554072,314,8.42E+04,314,7.94E+04,314,6.39E+04,314,4.69E+04,314,2.78E+04,314,1.46E+03
795.5025024,0.000672494,795.5025024,-0.00184444,795.5025024,0.00113861,795.5025024,-8.91E-05,795.5025024,0.003186993,314.5,1.25E+03,314.5,1.23E+03,314.5,1.52E+03,314.5,1.92E+03,314.5,1.91E+03,595.4993896,-0.000111761,595.4993896,0.000869681,595.4993896,-0.000906047,595.4993896,-0.000454578,595.4993896,7.07E-05,314.5,9.60E+04,314.5,8.94E+04,314.5,7.30E+04,314.5,5.39E+04,314.5,3.22E+04,314.5,1.38E+03
795.0159302,-0.000231721,795.0159302,-0.000631469,795.0159302,-0.000404254,795.0159302,-0.002544577,795.0159302,0.002943376,315,1.23E+03,315,1.30E+03,315,1.42E+03,315,1.74E+03,315,1.93E+03,595.0166626,-0.000291689,595.0166626,0.000210038,595.0166626,-0.001229034,595.0166626,-0.001047067,595.0166626,-0.000404875,315,1.08E+05,315,1.01E+05,315,8.21E+04,315,6.02E+04,315,3.56E+04,315,1.41E+03
794.4943848,-0.000695827,794.4943848,-0.002221177,794.4943848,0.00117544,794.4943848,-0.001178386,794.4943848,0.001883009,315.5,1.13E+03,315.5,1.21E+03,315.5,1.37E+03,315.5,1.65E+03,315.5,1.69E+03,594.4966431,-0.000302812,594.4966431,0.000218869,594.4966431,-0.001042832,594.4966431,-0.000947634,594.4966431,-0.00062175,315.5,1.22E+05,315.5,1.13E+05,315.5,9.25E+04,315.5,6.71E+04,315.5,3.97E+04,315.5,1.39E+03
